,epoch,_Datetime_epoch_begin,_Datetime_epoch_end,_Trial_num,acc,loss,val_acc,val_loss
0,0,2020-08-26 21:03:45.919395,2020-08-26 21:07:36.574277,0,0.6736111111111112,0.6732862846474745,0.6458333333333334,0.6617821907469382
1,1,2020-08-26 21:07:36.849844,2020-08-26 21:11:40.364779,0,0.8078703703703703,0.4434784585243539,0.8958333333333334,0.281569264557523
2,2,2020-08-26 21:11:40.474956,2020-08-26 21:15:44.430265,0,0.8240740740740741,0.38288002683731504,0.8333333333333334,0.4757101014207971
