epoch,acc,loss,val_acc,val_loss
0,0.4523809523809524,7.561047395070393,0.6666666666666666,5.372698505719501
1,0.5952380952380952,6.523991034144446,0.6666666666666666,5.372698505719501
2,0.5952380952380952,6.523991028467813,0.6666666666666666,5.372698505719501
3,0.5952380952380952,6.523991039821079,0.6666666666666666,5.372698505719501
4,0.5952380952380952,6.523991034144447,0.6666666666666666,5.372698505719501
5,0.5952380952380952,6.523991034144446,0.6666666666666666,5.372698505719501
6,0.5952380952380952,6.523991045497711,0.6666666666666666,5.372698505719501
7,0.5952380952380952,6.523991039821077,0.6666666666666666,5.372698505719501
8,0.5952380952380952,6.523991045497711,0.6666666666666666,5.372698505719501
9,0.5952380952380952,6.5239910398210785,0.6666666666666666,5.372698505719501
