1599770007 INTERNAL *** MONITORD_STARTED ***
1599770004 INTERNAL *** DAGMAN_STARTED 80.0 ***
1599770008 create_dir_Cats_and_Dogs_0_local SUBMIT 81.0 local - 1
1599770009 create_dir_Cats_and_Dogs_0_local EXECUTE 81.0 local - 1
1599770011 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 81.0 local - 1
1599770013 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 1
1599770013 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 81.0 local - 1
1599770014 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 81.0 local - 1
1599770018 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 1
1599770023 stage_in_remote_local_2_0 SUBMIT 85.0 local - 2
1599770023 stage_in_remote_local_2_0 EXECUTE 85.0 local - 2
1599770023 stage_in_remote_local_1_0 SUBMIT 86.0 local - 3
1599770023 stage_in_remote_local_0_0 SUBMIT 87.0 local - 4
1599770023 stage_in_local_local_4_0 SUBMIT 88.0 local - 5
1599770023 stage_in_local_local_0_0 SUBMIT 89.0 local - 6
1599770023 stage_in_remote_local_4_0 SUBMIT 90.0 local - 7
1599770023 stage_in_remote_local_3_0 SUBMIT 91.0 local - 8
1599770024 stage_in_local_local_0_0 EXECUTE 89.0 local - 6
1599770024 stage_in_remote_local_4_0 EXECUTE 90.0 local - 7
1599770024 stage_in_remote_local_3_0 EXECUTE 91.0 local - 8
1599770024 stage_in_remote_local_0_0 EXECUTE 87.0 local - 4
1599770024 stage_in_remote_local_1_0 EXECUTE 86.0 local - 3
1599770024 stage_in_local_local_4_0 EXECUTE 88.0 local - 5
1599770026 stage_in_remote_local_2_0 JOB_TERMINATED 85.0 local - 2
1599770028 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1599770028 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 85.0 local - 2
1599770027 stage_in_remote_local_1_0 JOB_TERMINATED 86.0 local - 3
1599770028 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1599770028 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 86.0 local - 3
1599770027 stage_in_remote_local_0_0 JOB_TERMINATED 87.0 local - 4
1599770029 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1599770029 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 87.0 local - 4
1599770027 stage_in_remote_local_3_0 JOB_TERMINATED 91.0 local - 8
1599770029 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 8
1599770029 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 91.0 local - 8
1599770027 stage_in_local_local_4_0 JOB_TERMINATED 88.0 local - 5
1599770029 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 5
1599770029 stage_in_local_local_4_0 POST_SCRIPT_STARTED 88.0 local - 5
1599770027 stage_in_remote_local_4_0 JOB_TERMINATED 90.0 local - 7
1599770029 stage_in_remote_local_4_0 JOB_SUCCESS 0 local - 7
1599770029 stage_in_remote_local_4_0 POST_SCRIPT_STARTED 90.0 local - 7
1599770029 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 91.0 local - 8
1599770034 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 8
1599770029 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 87.0 local - 4
1599770034 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1599770030 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 86.0 local - 3
1599770034 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1599770030 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 85.0 local - 2
1599770034 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1599770030 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 88.0 local - 5
1599770034 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 5
1599770030 stage_in_remote_local_4_0 POST_SCRIPT_TERMINATED 90.0 local - 7
1599770034 stage_in_remote_local_4_0 POST_SCRIPT_SUCCESS 0 local - 7
1599770109 stage_in_local_local_0_0 JOB_TERMINATED 89.0 local - 6
1599770114 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 6
1599770114 stage_in_local_local_0_0 POST_SCRIPT_STARTED 89.0 local - 6
1599770116 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 89.0 local - 6
1599770119 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1599770125 preprocess1_py_ID0000001 SUBMIT 102.0 condorpool - 9
1599770129 preprocess1_py_ID0000001 EXECUTE 102.0 condorpool - 9
1599770149 preprocess1_py_ID0000001 JOB_TERMINATED 102.0 condorpool - 9
1599770150 preprocess1_py_ID0000001 JOB_SUCCESS 0 condorpool - 9
1599770150 preprocess1_py_ID0000001 POST_SCRIPT_STARTED 102.0 condorpool - 9
1599770153 preprocess1_py_ID0000001 POST_SCRIPT_TERMINATED 102.0 condorpool - 9
1599770155 preprocess1_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 9
1599770160 clean_up_local_level_3_0 SUBMIT 108.0 local - 10
1599770161 stage_out_local_local_0_0 SUBMIT 109.0 local - 11
1599770161 Augmentation_py_ID0000002 SUBMIT 110.0 condorpool - 12
1599770163 clean_up_local_level_3_0 EXECUTE 108.0 local - 10
1599770163 stage_out_local_local_0_0 EXECUTE 109.0 local - 11
1599770166 Augmentation_py_ID0000002 EXECUTE 110.0 condorpool - 12
1599770180 clean_up_local_level_3_0 JOB_TERMINATED 108.0 local - 10
1599770181 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 10
1599770181 clean_up_local_level_3_0 POST_SCRIPT_STARTED 108.0 local - 10
1599770183 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 108.0 local - 10
1599770186 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 10
1599770224 Augmentation_py_ID0000002 JOB_TERMINATED 110.0 condorpool - 12
1599770226 Augmentation_py_ID0000002 JOB_SUCCESS 0 condorpool - 12
1599770226 Augmentation_py_ID0000002 POST_SCRIPT_STARTED 110.0 condorpool - 12
1599770240 Augmentation_py_ID0000002 POST_SCRIPT_TERMINATED 110.0 condorpool - 12
1599770241 Augmentation_py_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 12
1599770246 stage_out_local_local_1_0 SUBMIT 114.0 local - 13
1599770248 Data_Split_py_ID0000003 SUBMIT 115.0 condorpool - 14
1599770250 stage_out_local_local_1_0 EXECUTE 114.0 local - 13
1599770251 stage_out_local_local_0_0 JOB_TERMINATED 109.0 local - 11
1599770253 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 11
1599770253 stage_out_local_local_0_0 POST_SCRIPT_STARTED 109.0 local - 11
1599770254 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 109.0 local - 11
1599770258 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 11
1599770261 Data_Split_py_ID0000003 EXECUTE 115.0 condorpool - 14
1599770263 clean_up_local_level_4_0 SUBMIT 117.0 local - 15
1599770264 register_local_0_0 SUBMIT 118.0 local - 16
1599770268 clean_up_local_level_4_0 EXECUTE 117.0 local - 15
1599770268 register_local_0_0 EXECUTE 118.0 local - 16
1599770285 clean_up_local_level_4_0 JOB_TERMINATED 117.0 local - 15
1599770289 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 15
1599770289 clean_up_local_level_4_0 POST_SCRIPT_STARTED 117.0 local - 15
1599770287 register_local_0_0 JOB_TERMINATED 118.0 local - 16
1599770289 register_local_0_0 JOB_SUCCESS 0 local - 16
1599770289 register_local_0_0 POST_SCRIPT_STARTED 118.0 local - 16
