1597092524 INTERNAL *** MONITORD_STARTED ***
1597092523 INTERNAL *** DAGMAN_STARTED 13.0 ***
1597092527 create_dir_harry-potter-text-analysis_0_local SUBMIT 14.0 local - 1
1597092528 create_dir_harry-potter-text-analysis_0_local EXECUTE 14.0 local - 1
1597092530 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 14.0 local - 1
1597092532 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1597092532 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 14.0 local - 1
1597092532 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 14.0 local - 1
1597092537 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597092542 stage_in_remote_local_2_0 SUBMIT 15.0 local - 2
1597092542 stage_in_remote_local_1_0 SUBMIT 16.0 local - 3
1597092542 stage_in_remote_local_0_0 SUBMIT 17.0 local - 4
1597092542 stage_in_local_local_0_0 SUBMIT 18.0 local - 5
1597092545 stage_in_remote_local_2_0 EXECUTE 15.0 local - 2
1597092545 stage_in_remote_local_0_0 EXECUTE 17.0 local - 4
1597092545 stage_in_remote_local_1_0 EXECUTE 16.0 local - 3
1597092545 stage_in_local_local_0_0 EXECUTE 18.0 local - 5
1597092547 stage_in_remote_local_0_0 JOB_TERMINATED 17.0 local - 4
1597092547 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1597092547 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 17.0 local - 4
1597092547 stage_in_remote_local_2_0 JOB_TERMINATED 15.0 local - 2
1597092547 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1597092547 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 15.0 local - 2
1597092547 stage_in_remote_local_1_0 JOB_TERMINATED 16.0 local - 3
1597092547 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1597092547 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 16.0 local - 3
1597092547 stage_in_local_local_0_0 JOB_TERMINATED 18.0 local - 5
1597092547 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1597092547 stage_in_local_local_0_0 POST_SCRIPT_STARTED 18.0 local - 5
