1595265416 INTERNAL *** MONITORD_STARTED ***
1595265414 INTERNAL *** DAGMAN_STARTED 1.0 ***
1595265418 create_dir_checkpoint-wf_0_local SUBMIT 2.0 local - 1
1595265419 create_dir_checkpoint-wf_0_local EXECUTE 2.0 local - 1
1595265421 create_dir_checkpoint-wf_0_local JOB_TERMINATED 2.0 local - 1
1595265423 create_dir_checkpoint-wf_0_local JOB_SUCCESS 0 local - 1
1595265423 create_dir_checkpoint-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1595265423 create_dir_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1595265428 create_dir_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1595265433 stage_in_remote_local_0_0 SUBMIT 3.0 local - 2
1595265433 stage_in_local_local_0_0 SUBMIT 4.0 local - 3
1595265436 stage_in_local_local_0_0 EXECUTE 4.0 local - 3
1595265436 stage_in_remote_local_0_0 EXECUTE 3.0 local - 2
1595265438 stage_in_remote_local_0_0 JOB_TERMINATED 3.0 local - 2
1595265438 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1595265438 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 3.0 local - 2
1595265438 stage_in_local_local_0_0 JOB_TERMINATED 4.0 local - 3
1595265438 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1595265438 stage_in_local_local_0_0 POST_SCRIPT_STARTED 4.0 local - 3
1595265439 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1595265443 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1595265439 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 3.0 local - 2
1595265443 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1595265448 checkpoint_program_py_ID0000001 SUBMIT 5.0 condorpool - 4
1595265454 checkpoint_program_py_ID0000001 EXECUTE 5.0 condorpool - 4
1595265545 checkpoint_program_py_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1595265548 checkpoint_program_py_ID0000001 JOB_FAILURE 14 condorpool - 4
1595265548 checkpoint_program_py_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1595265548 checkpoint_program_py_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1595265553 checkpoint_program_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 4
1595265558 checkpoint_program_py_ID0000001 SUBMIT 6.0 condorpool - 5
1595265559 checkpoint_program_py_ID0000001 EXECUTE 6.0 condorpool - 5
1595265650 checkpoint_program_py_ID0000001 JOB_TERMINATED 6.0 condorpool - 5
1595265653 checkpoint_program_py_ID0000001 JOB_FAILURE 14 condorpool - 5
1595265653 checkpoint_program_py_ID0000001 POST_SCRIPT_STARTED 6.0 condorpool - 5
1595265653 checkpoint_program_py_ID0000001 POST_SCRIPT_TERMINATED 6.0 condorpool - 5
1595265658 checkpoint_program_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 5
1595265663 checkpoint_program_py_ID0000001 SUBMIT 7.0 condorpool - 6
1595265665 checkpoint_program_py_ID0000001 EXECUTE 7.0 condorpool - 6
1595265725 checkpoint_program_py_ID0000001 JOB_TERMINATED 7.0 condorpool - 6
1595265728 checkpoint_program_py_ID0000001 JOB_SUCCESS 0 condorpool - 6
1595265728 checkpoint_program_py_ID0000001 POST_SCRIPT_STARTED 7.0 condorpool - 6
1595265729 checkpoint_program_py_ID0000001 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1595265733 checkpoint_program_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1595265738 clean_up_local_level_3_0 SUBMIT 8.0 local - 7
1595265738 stage_out_local_local_0_0 SUBMIT 9.0 local - 8
1595265741 clean_up_local_level_3_0 EXECUTE 8.0 local - 7
1595265741 stage_out_local_local_0_0 EXECUTE 9.0 local - 8
1595265743 clean_up_local_level_3_0 JOB_TERMINATED 8.0 local - 7
1595265748 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1595265748 clean_up_local_level_3_0 POST_SCRIPT_STARTED 8.0 local - 7
1595265745 stage_out_local_local_0_0 JOB_TERMINATED 9.0 local - 8
1595265748 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1595265748 stage_out_local_local_0_0 POST_SCRIPT_STARTED 9.0 local - 8
1595265748 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1595265753 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1595265748 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1595265753 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1595265758 clean_up_local_level_4_0 SUBMIT 10.0 local - 9
1595265758 register_local_0_0 SUBMIT 11.0 local - 10
1595265762 clean_up_local_level_4_0 EXECUTE 10.0 local - 9
1595265762 register_local_0_0 EXECUTE 11.0 local - 10
1595265765 register_local_0_0 JOB_TERMINATED 11.0 local - 10
1595265768 register_local_0_0 JOB_SUCCESS 0 local - 10
1595265768 register_local_0_0 POST_SCRIPT_STARTED 11.0 local - 10
1595265767 clean_up_local_level_4_0 JOB_TERMINATED 10.0 local - 9
1595265768 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 9
1595265768 clean_up_local_level_4_0 POST_SCRIPT_STARTED 10.0 local - 9
1595265768 register_local_0_0 POST_SCRIPT_TERMINATED 11.0 local - 10
1595265773 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 10
1595265768 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 10.0 local - 9
1595265773 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 9
1595265778 cleanup_checkpoint-wf_0_local SUBMIT 12.0 local - 11
1595265784 cleanup_checkpoint-wf_0_local EXECUTE 12.0 local - 11
1595265786 cleanup_checkpoint-wf_0_local JOB_TERMINATED 12.0 local - 11
1595265788 cleanup_checkpoint-wf_0_local JOB_SUCCESS 0 local - 11
1595265788 cleanup_checkpoint-wf_0_local POST_SCRIPT_STARTED 12.0 local - 11
1595265789 cleanup_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 12.0 local - 11
1595265793 cleanup_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 11
1595265793 INTERNAL *** DAGMAN_FINISHED 0 ***
1595265794 INTERNAL *** MONITORD_FINISHED 0 ***
