1595281552 INTERNAL *** MONITORD_STARTED ***
1595281550 INTERNAL *** DAGMAN_STARTED 127.0 ***
1595281554 create_dir_checkpoint-wf_0_local SUBMIT 128.0 local - 1
1595281555 create_dir_checkpoint-wf_0_local EXECUTE 128.0 local - 1
1595281557 create_dir_checkpoint-wf_0_local JOB_TERMINATED 128.0 local - 1
1595281559 create_dir_checkpoint-wf_0_local JOB_SUCCESS 0 local - 1
1595281559 create_dir_checkpoint-wf_0_local POST_SCRIPT_STARTED 128.0 local - 1
1595281559 create_dir_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 128.0 local - 1
1595281564 create_dir_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1595281569 stage_in_remote_local_0_0 SUBMIT 129.0 local - 2
1595281569 stage_in_local_local_0_0 SUBMIT 130.0 local - 3
1595281572 stage_in_local_local_0_0 EXECUTE 130.0 local - 3
1595281572 stage_in_remote_local_0_0 EXECUTE 129.0 local - 2
1595281575 stage_in_remote_local_0_0 JOB_TERMINATED 129.0 local - 2
1595281579 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1595281579 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 129.0 local - 2
1595281575 stage_in_local_local_0_0 JOB_TERMINATED 130.0 local - 3
1595281579 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1595281579 stage_in_local_local_0_0 POST_SCRIPT_STARTED 130.0 local - 3
1595281579 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 130.0 local - 3
1595281584 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1595281579 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 129.0 local - 2
1595281584 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1595281591 print_nums_py_ID0000001 SUBMIT 131.0 condorpool - 4
1595281597 print_nums_py_ID0000001 EXECUTE 131.0 condorpool - 4
1595281688 print_nums_py_ID0000001 JOB_TERMINATED 131.0 condorpool - 4
1595281691 print_nums_py_ID0000001 JOB_FAILURE 14 condorpool - 4
1595281691 print_nums_py_ID0000001 POST_SCRIPT_STARTED 131.0 condorpool - 4
1595281691 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 131.0 condorpool - 4
1595281696 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 4
1595281701 print_nums_py_ID0000001 SUBMIT 132.0 condorpool - 5
1595281702 print_nums_py_ID0000001 EXECUTE 132.0 condorpool - 5
1595281793 print_nums_py_ID0000001 JOB_TERMINATED 132.0 condorpool - 5
1595281796 print_nums_py_ID0000001 JOB_FAILURE 14 condorpool - 5
1595281796 print_nums_py_ID0000001 POST_SCRIPT_STARTED 132.0 condorpool - 5
1595281796 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 132.0 condorpool - 5
1595281801 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 5
1595281806 print_nums_py_ID0000001 SUBMIT 133.0 condorpool - 6
1595281808 print_nums_py_ID0000001 EXECUTE 133.0 condorpool - 6
1595281811 print_nums_py_ID0000001 JOB_TERMINATED 133.0 condorpool - 6
1595281811 print_nums_py_ID0000001 JOB_SUCCESS 0 condorpool - 6
1595281811 print_nums_py_ID0000001 POST_SCRIPT_STARTED 133.0 condorpool - 6
1595281812 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 133.0 condorpool - 6
1595281816 print_nums_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1595281821 clean_up_local_level_3_0 SUBMIT 134.0 local - 7
1595281821 stage_out_local_local_0_0 SUBMIT 135.0 local - 8
1595281824 stage_out_local_local_0_0 EXECUTE 135.0 local - 8
1595281824 clean_up_local_level_3_0 EXECUTE 134.0 local - 7
1595281826 clean_up_local_level_3_0 JOB_TERMINATED 134.0 local - 7
1595281831 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1595281831 clean_up_local_level_3_0 POST_SCRIPT_STARTED 134.0 local - 7
1595281828 stage_out_local_local_0_0 JOB_TERMINATED 135.0 local - 8
1595281831 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1595281831 stage_out_local_local_0_0 POST_SCRIPT_STARTED 135.0 local - 8
1595281831 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 134.0 local - 7
1595281836 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1595281831 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 135.0 local - 8
1595281836 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1595281841 clean_up_local_level_4_0 SUBMIT 136.0 local - 9
1595281841 register_local_0_0 SUBMIT 137.0 local - 10
1595281846 register_local_0_0 EXECUTE 137.0 local - 10
1595281846 clean_up_local_level_4_0 EXECUTE 136.0 local - 9
1595281848 register_local_0_0 JOB_TERMINATED 137.0 local - 10
1595281851 register_local_0_0 JOB_SUCCESS 0 local - 10
1595281851 register_local_0_0 POST_SCRIPT_STARTED 137.0 local - 10
1595281850 clean_up_local_level_4_0 JOB_TERMINATED 136.0 local - 9
1595281851 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 9
1595281851 clean_up_local_level_4_0 POST_SCRIPT_STARTED 136.0 local - 9
1595281851 register_local_0_0 POST_SCRIPT_TERMINATED 137.0 local - 10
1595281856 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 10
1595281852 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 136.0 local - 9
1595281856 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 9
1595281861 cleanup_checkpoint-wf_0_local SUBMIT 138.0 local - 11
1595281862 cleanup_checkpoint-wf_0_local EXECUTE 138.0 local - 11
1595281864 cleanup_checkpoint-wf_0_local JOB_TERMINATED 138.0 local - 11
1595281866 cleanup_checkpoint-wf_0_local JOB_SUCCESS 0 local - 11
1595281866 cleanup_checkpoint-wf_0_local POST_SCRIPT_STARTED 138.0 local - 11
1595281866 cleanup_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 138.0 local - 11
1595281871 cleanup_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 11
1595281871 INTERNAL *** DAGMAN_FINISHED 0 ***
1595281873 INTERNAL *** MONITORD_FINISHED 0 ***
