1599777579 INTERNAL *** MONITORD_STARTED ***
1599777575 INTERNAL *** DAGMAN_STARTED 191.0 ***
1599777579 stage_out_local_local_1000_0 SUBMIT 192.0 local - 1
1599777579 create_dir_Cats_and_Dogs_0_local SUBMIT 193.0 local - 2
1599777580 stage_out_local_local_1000_0 EXECUTE 192.0 local - 1
1599777580 create_dir_Cats_and_Dogs_0_local EXECUTE 193.0 local - 2
1599777582 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 193.0 local - 2
1599777584 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 2
1599777584 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 193.0 local - 2
1599777582 stage_out_local_local_1000_0 JOB_TERMINATED 192.0 local - 1
1599777584 stage_out_local_local_1000_0 JOB_SUCCESS 0 local - 1
1599777584 stage_out_local_local_1000_0 POST_SCRIPT_STARTED 192.0 local - 1
1599777585 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 193.0 local - 2
1599777589 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 2
1599777585 stage_out_local_local_1000_0 POST_SCRIPT_TERMINATED 192.0 local - 1
1599777589 stage_out_local_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 1
1599777595 stage_in_remote_local_2_0 SUBMIT 194.0 local - 3
1599777595 stage_in_remote_local_2_0 EXECUTE 194.0 local - 3
1599777595 stage_in_remote_local_1_0 SUBMIT 195.0 local - 4
1599777595 stage_in_remote_local_0_0 SUBMIT 196.0 local - 5
1599777595 stage_in_local_local_0_0 SUBMIT 197.0 local - 6
1599777595 stage_in_remote_local_3_0 SUBMIT 198.0 local - 7
1599777595 register_local_1000_0 SUBMIT 199.0 local - 8
1599777597 stage_in_remote_local_2_0 JOB_TERMINATED 194.0 local - 3
1599777600 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 3
1599777600 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 194.0 local - 3
1599777598 stage_in_remote_local_1_0 EXECUTE 195.0 local - 4
1599777598 stage_in_remote_local_0_0 EXECUTE 196.0 local - 5
1599777598 stage_in_local_local_0_0 EXECUTE 197.0 local - 6
1599777598 stage_in_remote_local_3_0 EXECUTE 198.0 local - 7
1599777598 register_local_1000_0 EXECUTE 199.0 local - 8
1599777600 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 194.0 local - 3
1599777605 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 3
1599777601 stage_in_remote_local_0_0 JOB_TERMINATED 196.0 local - 5
1599777605 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 5
1599777605 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 196.0 local - 5
1599777601 stage_in_remote_local_3_0 JOB_TERMINATED 198.0 local - 7
1599777605 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 7
1599777605 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 198.0 local - 7
1599777601 stage_in_remote_local_1_0 JOB_TERMINATED 195.0 local - 4
1599777605 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 4
1599777605 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 195.0 local - 4
1599777603 register_local_1000_0 JOB_TERMINATED 199.0 local - 8
1599777605 register_local_1000_0 JOB_SUCCESS 0 local - 8
1599777605 register_local_1000_0 POST_SCRIPT_STARTED 199.0 local - 8
1599777606 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 196.0 local - 5
1599777611 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1599777606 register_local_1000_0 POST_SCRIPT_TERMINATED 199.0 local - 8
1599777611 register_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 8
1599777606 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 198.0 local - 7
1599777611 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1599777607 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 195.0 local - 4
1599777611 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1599777657 stage_in_local_local_0_0 JOB_TERMINATED 197.0 local - 6
1599777661 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 6
1599777661 stage_in_local_local_0_0 POST_SCRIPT_STARTED 197.0 local - 6
