1600924606 INTERNAL *** MONITORD_STARTED ***
1600924605 INTERNAL *** DAGMAN_STARTED 190.0 ***
1600924609 stage_out_local_local_1000_0 SUBMIT 191.0 local - 1
1600924609 create_dir_Cats_and_Dogs_0_local SUBMIT 192.0 local - 2
1600924610 create_dir_Cats_and_Dogs_0_local EXECUTE 192.0 local - 2
1600924610 stage_out_local_local_1000_0 EXECUTE 191.0 local - 1
1600924612 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 192.0 local - 2
1600924614 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 2
1600924614 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 192.0 local - 2
1600924612 stage_out_local_local_1000_0 JOB_TERMINATED 191.0 local - 1
1600924614 stage_out_local_local_1000_0 JOB_SUCCESS 0 local - 1
1600924614 stage_out_local_local_1000_0 POST_SCRIPT_STARTED 191.0 local - 1
1600924614 stage_out_local_local_1000_0 POST_SCRIPT_TERMINATED 191.0 local - 1
1600924619 stage_out_local_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 1
1600924614 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 192.0 local - 2
1600924619 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 2
1600924624 stage_in_remote_local_2_0 SUBMIT 193.0 local - 3
1600924624 stage_in_remote_local_1_0 SUBMIT 194.0 local - 4
1600924624 stage_in_remote_local_0_0 SUBMIT 195.0 local - 5
1600924624 stage_in_local_local_0_0 SUBMIT 196.0 local - 6
1600924624 stage_in_remote_local_3_0 SUBMIT 197.0 local - 7
1600924624 register_local_1000_0 SUBMIT 198.0 local - 8
1600924625 stage_in_remote_local_0_0 EXECUTE 195.0 local - 5
1600924625 register_local_1000_0 EXECUTE 198.0 local - 8
1600924625 stage_in_remote_local_1_0 EXECUTE 194.0 local - 4
1600924625 stage_in_remote_local_3_0 EXECUTE 197.0 local - 7
1600924625 stage_in_remote_local_2_0 EXECUTE 193.0 local - 3
1600924625 stage_in_local_local_0_0 EXECUTE 196.0 local - 6
1600924627 register_local_1000_0 JOB_TERMINATED 198.0 local - 8
1600924629 register_local_1000_0 JOB_SUCCESS 0 local - 8
1600924629 register_local_1000_0 POST_SCRIPT_STARTED 198.0 local - 8
1600924628 stage_in_remote_local_1_0 JOB_TERMINATED 194.0 local - 4
1600924629 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 4
