1595267777 INTERNAL *** MONITORD_STARTED ***
1595267775 INTERNAL *** DAGMAN_STARTED 49.0 ***
1595267779 create_dir_checkpoint-wf_0_local SUBMIT 50.0 local - 1
1595267780 create_dir_checkpoint-wf_0_local EXECUTE 50.0 local - 1
1595267782 create_dir_checkpoint-wf_0_local JOB_TERMINATED 50.0 local - 1
1595267784 create_dir_checkpoint-wf_0_local JOB_SUCCESS 0 local - 1
1595267784 create_dir_checkpoint-wf_0_local POST_SCRIPT_STARTED 50.0 local - 1
1595267784 create_dir_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 50.0 local - 1
1595267789 create_dir_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1595267794 stage_in_remote_local_0_0 SUBMIT 51.0 local - 2
1595267794 stage_in_local_local_0_0 SUBMIT 52.0 local - 3
1595267797 stage_in_remote_local_0_0 EXECUTE 51.0 local - 2
1595267797 stage_in_local_local_0_0 EXECUTE 52.0 local - 3
1595267799 stage_in_remote_local_0_0 JOB_TERMINATED 51.0 local - 2
1595267799 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1595267799 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 51.0 local - 2
1595267799 stage_in_local_local_0_0 JOB_TERMINATED 52.0 local - 3
1595267799 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1595267799 stage_in_local_local_0_0 POST_SCRIPT_STARTED 52.0 local - 3
1595267800 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 51.0 local - 2
1595267804 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1595267800 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 52.0 local - 3
1595267804 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1595267809 print_nums_py_ID0000001 SUBMIT 53.0 condorpool - 4
1595267818 print_nums_py_ID0000001 EXECUTE 53.0 condorpool - 4
1595267909 print_nums_py_ID0000001 JOB_TERMINATED 53.0 condorpool - 4
1595267909 print_nums_py_ID0000001 JOB_FAILURE 14 condorpool - 4
1595267909 print_nums_py_ID0000001 POST_SCRIPT_STARTED 53.0 condorpool - 4
1595267909 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 53.0 condorpool - 4
1595267914 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 4
1595267919 print_nums_py_ID0000001 SUBMIT 54.0 condorpool - 5
1595267920 print_nums_py_ID0000001 EXECUTE 54.0 condorpool - 5
1595268011 print_nums_py_ID0000001 JOB_TERMINATED 54.0 condorpool - 5
1595268014 print_nums_py_ID0000001 JOB_FAILURE 14 condorpool - 5
1595268014 print_nums_py_ID0000001 POST_SCRIPT_STARTED 54.0 condorpool - 5
1595268014 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 54.0 condorpool - 5
1595268019 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 5
1595268024 print_nums_py_ID0000001 SUBMIT 55.0 condorpool - 6
1595268026 print_nums_py_ID0000001 EXECUTE 55.0 condorpool - 6
1595268086 print_nums_py_ID0000001 JOB_TERMINATED 55.0 condorpool - 6
1595268089 print_nums_py_ID0000001 JOB_SUCCESS 0 condorpool - 6
1595268089 print_nums_py_ID0000001 POST_SCRIPT_STARTED 55.0 condorpool - 6
1595268090 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 55.0 condorpool - 6
1595268094 print_nums_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1595268099 clean_up_local_level_3_0 SUBMIT 56.0 local - 7
1595268099 stage_out_local_local_0_0 SUBMIT 57.0 local - 8
1595268104 stage_out_local_local_0_0 EXECUTE 57.0 local - 8
1595268104 clean_up_local_level_3_0 EXECUTE 56.0 local - 7
1595268106 clean_up_local_level_3_0 JOB_TERMINATED 56.0 local - 7
1595268109 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1595268109 clean_up_local_level_3_0 POST_SCRIPT_STARTED 56.0 local - 7
1595268108 stage_out_local_local_0_0 JOB_TERMINATED 57.0 local - 8
1595268109 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1595268109 stage_out_local_local_0_0 POST_SCRIPT_STARTED 57.0 local - 8
1595268109 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 56.0 local - 7
1595268114 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1595268109 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 57.0 local - 8
1595268114 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1595268119 clean_up_local_level_4_0 SUBMIT 58.0 local - 9
1595268119 register_local_0_0 SUBMIT 59.0 local - 10
1595268120 register_local_0_0 EXECUTE 59.0 local - 10
1595268120 clean_up_local_level_4_0 EXECUTE 58.0 local - 9
1595268122 register_local_0_0 JOB_TERMINATED 59.0 local - 10
1595268124 register_local_0_0 JOB_SUCCESS 0 local - 10
1595268124 register_local_0_0 POST_SCRIPT_STARTED 59.0 local - 10
1595268124 clean_up_local_level_4_0 JOB_TERMINATED 58.0 local - 9
1595268124 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 9
1595268124 clean_up_local_level_4_0 POST_SCRIPT_STARTED 58.0 local - 9
1595268124 register_local_0_0 POST_SCRIPT_TERMINATED 59.0 local - 10
1595268129 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 10
1595268124 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 58.0 local - 9
1595268129 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 9
1595268134 cleanup_checkpoint-wf_0_local SUBMIT 60.0 local - 11
1595268136 cleanup_checkpoint-wf_0_local EXECUTE 60.0 local - 11
1595268139 cleanup_checkpoint-wf_0_local JOB_TERMINATED 60.0 local - 11
1595268139 cleanup_checkpoint-wf_0_local JOB_SUCCESS 0 local - 11
1595268139 cleanup_checkpoint-wf_0_local POST_SCRIPT_STARTED 60.0 local - 11
1595268140 cleanup_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 60.0 local - 11
1595268144 cleanup_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 11
1595268144 INTERNAL *** DAGMAN_FINISHED 0 ***
1595268145 INTERNAL *** MONITORD_FINISHED 0 ***
