1598373762 INTERNAL *** MONITORD_STARTED ***
1598373760 INTERNAL *** DAGMAN_STARTED 1.0 ***
1598373765 create_dir_Cats_and_Dogs_0_local SUBMIT 2.0 local - 1
1598373766 create_dir_Cats_and_Dogs_0_local EXECUTE 2.0 local - 1
1598373768 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 2.0 local - 1
1598373770 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 1
1598373770 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 2.0 local - 1
1598373770 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1598373775 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 1
1598373780 stage_in_remote_local_2_0 SUBMIT 3.0 local - 2
1598373780 stage_in_remote_local_1_0 SUBMIT 4.0 local - 3
1598373780 stage_in_remote_local_0_0 SUBMIT 5.0 local - 4
1598373780 stage_in_local_local_0_0 SUBMIT 6.0 local - 5
1598373780 stage_in_remote_local_3_0 SUBMIT 7.0 local - 6
1598373782 stage_in_remote_local_2_0 EXECUTE 3.0 local - 2
1598373782 stage_in_local_local_0_0 EXECUTE 6.0 local - 5
1598373782 stage_in_remote_local_0_0 EXECUTE 5.0 local - 4
1598373782 stage_in_remote_local_1_0 EXECUTE 4.0 local - 3
1598373782 stage_in_remote_local_3_0 EXECUTE 7.0 local - 6
1598373784 stage_in_remote_local_0_0 JOB_TERMINATED 5.0 local - 4
1598373785 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1598373785 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 5.0 local - 4
1598373784 stage_in_remote_local_2_0 JOB_TERMINATED 3.0 local - 2
1598373785 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1598373785 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3.0 local - 2
1598373784 stage_in_remote_local_1_0 JOB_TERMINATED 4.0 local - 3
1598373785 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1598373785 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1598373784 stage_in_remote_local_3_0 JOB_TERMINATED 7.0 local - 6
1598373785 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 6
1598373785 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 7.0 local - 6
1598373785 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 3.0 local - 2
1598373790 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1598373785 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 5.0 local - 4
1598373790 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1598373785 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1598373790 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1598373785 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 7.0 local - 6
1598373790 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 6
1598373807 stage_in_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1598373810 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1598373810 stage_in_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1598373811 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1598373815 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1598373820 preprocess1_py_ID0000001 SUBMIT 8.0 condorpool - 7
1598373827 preprocess1_py_ID0000001 EXECUTE 8.0 condorpool - 7
1598373832 preprocess1_py_ID0000001 JOB_TERMINATED 8.0 condorpool - 7
1598373835 preprocess1_py_ID0000001 JOB_SUCCESS 0 condorpool - 7
1598373835 preprocess1_py_ID0000001 POST_SCRIPT_STARTED 8.0 condorpool - 7
1598373837 preprocess1_py_ID0000001 POST_SCRIPT_TERMINATED 8.0 condorpool - 7
1598373840 preprocess1_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 7
1598373845 clean_up_local_level_3_0 SUBMIT 9.0 local - 8
1598373845 stage_out_local_local_0_0 SUBMIT 10.0 local - 9
1598373845 Augmentation_py_ID0000002 SUBMIT 11.0 condorpool - 10
1598373847 clean_up_local_level_3_0 EXECUTE 9.0 local - 8
1598373847 stage_out_local_local_0_0 EXECUTE 10.0 local - 9
1598373847 Augmentation_py_ID0000002 EXECUTE 11.0 condorpool - 10
1598373863 clean_up_local_level_3_0 JOB_TERMINATED 9.0 local - 8
1598373865 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 8
1598373865 clean_up_local_level_3_0 POST_SCRIPT_STARTED 9.0 local - 8
1598373863 Augmentation_py_ID0000002 JOB_TERMINATED 11.0 condorpool - 10
1598373865 Augmentation_py_ID0000002 JOB_SUCCESS 0 condorpool - 10
1598373865 Augmentation_py_ID0000002 POST_SCRIPT_STARTED 11.0 condorpool - 10
1598373865 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1598373870 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 8
1598373868 Augmentation_py_ID0000002 POST_SCRIPT_TERMINATED 11.0 condorpool - 10
1598373870 Augmentation_py_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 10
1598373868 stage_out_local_local_0_0 JOB_TERMINATED 10.0 local - 9
1598373870 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 9
1598373870 stage_out_local_local_0_0 POST_SCRIPT_STARTED 10.0 local - 9
1598373871 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 10.0 local - 9
1598373875 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 9
1598373875 stage_out_local_local_1_0 SUBMIT 12.0 local - 11
1598373875 Data_Split_py_ID0000003 SUBMIT 13.0 condorpool - 12
1598373878 stage_out_local_local_1_0 EXECUTE 12.0 local - 11
1598373879 Data_Split_py_ID0000003 EXECUTE 13.0 condorpool - 12
1598373880 clean_up_local_level_4_0 SUBMIT 14.0 local - 13
1598373880 register_local_0_0 SUBMIT 15.0 local - 14
1598373883 register_local_0_0 EXECUTE 15.0 local - 14
1598373883 clean_up_local_level_4_0 EXECUTE 14.0 local - 13
1598373887 register_local_0_0 JOB_TERMINATED 15.0 local - 14
1598373890 register_local_0_0 JOB_SUCCESS 0 local - 14
1598373890 register_local_0_0 POST_SCRIPT_STARTED 15.0 local - 14
1598373888 Data_Split_py_ID0000003 JOB_TERMINATED 13.0 condorpool - 12
1598373890 Data_Split_py_ID0000003 JOB_SUCCESS 0 condorpool - 12
1598373890 Data_Split_py_ID0000003 POST_SCRIPT_STARTED 13.0 condorpool - 12
1598373891 register_local_0_0 POST_SCRIPT_TERMINATED 15.0 local - 14
1598373895 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 14
1598373891 Data_Split_py_ID0000003 POST_SCRIPT_TERMINATED 13.0 condorpool - 12
1598373895 Data_Split_py_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 12
1598373899 clean_up_local_level_4_0 JOB_TERMINATED 14.0 local - 13
1598373901 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 13
1598373901 clean_up_local_level_4_0 POST_SCRIPT_STARTED 14.0 local - 13
1598373900 stage_out_local_local_2_0 SUBMIT 16.0 local - 15
1598373900 stage_out_local_local_2_0 EXECUTE 16.0 local - 15
1598373901 Optuna_py_ID0000004 SUBMIT 17.0 condorpool - 16
1598373901 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 14.0 local - 13
1598373906 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 13
1598373905 stage_out_local_local_2_0 JOB_TERMINATED 16.0 local - 15
1598373906 stage_out_local_local_2_0 JOB_SUCCESS 0 local - 15
1598373906 stage_out_local_local_2_0 POST_SCRIPT_STARTED 16.0 local - 15
1598373905 Optuna_py_ID0000004 EXECUTE 17.0 condorpool - 16
1598373907 stage_out_local_local_2_0 POST_SCRIPT_TERMINATED 16.0 local - 15
1598373911 stage_out_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 15
1598373916 register_local_2_0 SUBMIT 18.0 local - 17
1598373919 register_local_2_0 EXECUTE 18.0 local - 17
1598373922 register_local_2_0 JOB_TERMINATED 18.0 local - 17
1598373926 register_local_2_0 JOB_SUCCESS 0 local - 17
1598373926 register_local_2_0 POST_SCRIPT_STARTED 18.0 local - 17
1598373926 register_local_2_0 POST_SCRIPT_TERMINATED 18.0 local - 17
1598373931 register_local_2_0 POST_SCRIPT_SUCCESS 0 local - 17
1598373935 stage_out_local_local_1_0 JOB_TERMINATED 12.0 local - 11
1598373936 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 11
1598373936 stage_out_local_local_1_0 POST_SCRIPT_STARTED 12.0 local - 11
1598373937 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 12.0 local - 11
1598373941 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 11
1598373946 clean_up_local_level_5_0 SUBMIT 19.0 local - 18
1598373946 register_local_1_0 SUBMIT 20.0 local - 19
1598373948 register_local_1_0 EXECUTE 20.0 local - 19
1598373948 clean_up_local_level_5_0 EXECUTE 19.0 local - 18
1598373951 register_local_1_0 JOB_TERMINATED 20.0 local - 19
1598373956 register_local_1_0 JOB_SUCCESS 0 local - 19
1598373956 register_local_1_0 POST_SCRIPT_STARTED 20.0 local - 19
1598373956 register_local_1_0 POST_SCRIPT_TERMINATED 20.0 local - 19
1598373961 register_local_1_0 POST_SCRIPT_SUCCESS 0 local - 19
1598373956 clean_up_local_level_5_0 JOB_TERMINATED 19.0 local - 18
1598373961 clean_up_local_level_5_0 JOB_SUCCESS 0 local - 18
1598373961 clean_up_local_level_5_0 POST_SCRIPT_STARTED 19.0 local - 18
1598373961 clean_up_local_level_5_0 POST_SCRIPT_TERMINATED 19.0 local - 18
1598373966 clean_up_local_level_5_0 POST_SCRIPT_SUCCESS 0 local - 18
1598376033 Optuna_py_ID0000004 JOB_TERMINATED 17.0 condorpool - 16
1598376036 Optuna_py_ID0000004 JOB_SUCCESS 0 condorpool - 16
1598376036 Optuna_py_ID0000004 POST_SCRIPT_STARTED 17.0 condorpool - 16
1598376037 Optuna_py_ID0000004 POST_SCRIPT_TERMINATED 17.0 condorpool - 16
1598376041 Optuna_py_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 16
1598376046 clean_up_local_level_6_0 SUBMIT 21.0 local - 20
1598376046 stage_out_local_local_3_0 SUBMIT 22.0 local - 21
1598376049 clean_up_local_level_6_0 EXECUTE 21.0 local - 20
1598376049 stage_out_local_local_3_0 EXECUTE 22.0 local - 21
1598376054 stage_out_local_local_3_0 JOB_TERMINATED 22.0 local - 21
1598376056 stage_out_local_local_3_0 JOB_SUCCESS 0 local - 21
1598376056 stage_out_local_local_3_0 POST_SCRIPT_STARTED 22.0 local - 21
1598376057 stage_out_local_local_3_0 POST_SCRIPT_TERMINATED 22.0 local - 21
