1597092923 INTERNAL *** MONITORD_STARTED ***
1597092922 INTERNAL *** DAGMAN_STARTED 53.0 ***
1597092926 create_dir_harry-potter-text-analysis_0_local SUBMIT 54.0 local - 1
1597092927 create_dir_harry-potter-text-analysis_0_local EXECUTE 54.0 local - 1
1597092929 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 54.0 local - 1
1597092931 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1597092931 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 54.0 local - 1
1597092931 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 54.0 local - 1
1597092936 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597092941 stage_in_remote_local_2_0 SUBMIT 55.0 local - 2
1597092941 stage_in_remote_local_1_0 SUBMIT 56.0 local - 3
1597092941 stage_in_remote_local_0_0 SUBMIT 57.0 local - 4
1597092941 stage_in_local_local_0_0 SUBMIT 58.0 local - 5
1597092944 stage_in_remote_local_0_0 EXECUTE 57.0 local - 4
1597092944 stage_in_remote_local_2_0 EXECUTE 55.0 local - 2
1597092944 stage_in_remote_local_1_0 EXECUTE 56.0 local - 3
1597092944 stage_in_local_local_0_0 EXECUTE 58.0 local - 5
1597092946 stage_in_remote_local_0_0 JOB_TERMINATED 57.0 local - 4
1597092946 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1597092946 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 57.0 local - 4
1597092946 stage_in_remote_local_2_0 JOB_TERMINATED 55.0 local - 2
1597092946 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1597092946 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 55.0 local - 2
1597092946 stage_in_remote_local_1_0 JOB_TERMINATED 56.0 local - 3
1597092947 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1597092947 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 56.0 local - 3
1597092946 stage_in_local_local_0_0 JOB_TERMINATED 58.0 local - 5
1597092947 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1597092947 stage_in_local_local_0_0 POST_SCRIPT_STARTED 58.0 local - 5
1597092947 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 55.0 local - 2
1597092952 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
