1600965891 INTERNAL *** MONITORD_STARTED ***
1600965889 INTERNAL *** DAGMAN_STARTED 487.0 ***
1600965893 stage_out_local_local_1000_0 SUBMIT 488.0 local - 1
1600965893 create_dir_Cats_and_Dogs_0_local SUBMIT 489.0 local - 2
1600965895 create_dir_Cats_and_Dogs_0_local EXECUTE 489.0 local - 2
1600965895 stage_out_local_local_1000_0 EXECUTE 488.0 local - 1
1600965897 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 489.0 local - 2
1600965899 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 2
1600965899 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 489.0 local - 2
1600965897 stage_out_local_local_1000_0 JOB_TERMINATED 488.0 local - 1
1600965899 stage_out_local_local_1000_0 JOB_SUCCESS 0 local - 1
1600965899 stage_out_local_local_1000_0 POST_SCRIPT_STARTED 488.0 local - 1
1600965899 stage_out_local_local_1000_0 POST_SCRIPT_TERMINATED 488.0 local - 1
1600965904 stage_out_local_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 1
1600965899 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 489.0 local - 2
1600965904 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 2
1600965909 stage_in_remote_local_2_0 SUBMIT 490.0 local - 3
1600965909 stage_in_remote_local_1_0 SUBMIT 491.0 local - 4
1600965909 stage_in_remote_local_0_0 SUBMIT 492.0 local - 5
1600965909 stage_in_local_local_0_0 SUBMIT 493.0 local - 6
1600965909 stage_in_remote_local_3_0 SUBMIT 494.0 local - 7
1600965909 register_local_1000_0 SUBMIT 495.0 local - 8
1600965910 stage_in_remote_local_0_0 EXECUTE 492.0 local - 5
1600965910 register_local_1000_0 EXECUTE 495.0 local - 8
1600965910 stage_in_remote_local_1_0 EXECUTE 491.0 local - 4
1600965910 stage_in_remote_local_3_0 EXECUTE 494.0 local - 7
1600965910 stage_in_remote_local_2_0 EXECUTE 490.0 local - 3
1600965910 stage_in_local_local_0_0 EXECUTE 493.0 local - 6
1600965912 register_local_1000_0 JOB_TERMINATED 495.0 local - 8
1600965914 register_local_1000_0 JOB_SUCCESS 0 local - 8
1600965914 register_local_1000_0 POST_SCRIPT_STARTED 495.0 local - 8
1600965912 stage_in_remote_local_0_0 JOB_TERMINATED 492.0 local - 5
1600965914 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 5
1600965914 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 492.0 local - 5
1600965912 stage_in_remote_local_3_0 JOB_TERMINATED 494.0 local - 7
1600965914 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 7
1600965914 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 494.0 local - 7
1600965912 stage_in_remote_local_1_0 JOB_TERMINATED 491.0 local - 4
1600965914 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 4
1600965914 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 491.0 local - 4
1600965912 stage_in_remote_local_2_0 JOB_TERMINATED 490.0 local - 3
1600965914 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 3
1600965914 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 490.0 local - 3
1600965914 register_local_1000_0 POST_SCRIPT_TERMINATED 495.0 local - 8
