1595266720 INTERNAL *** MONITORD_STARTED ***
1595266718 INTERNAL *** DAGMAN_STARTED 25.0 ***
1595266722 create_dir_checkpoint-wf_0_local SUBMIT 26.0 local - 1
1595266723 create_dir_checkpoint-wf_0_local EXECUTE 26.0 local - 1
1595266725 create_dir_checkpoint-wf_0_local JOB_TERMINATED 26.0 local - 1
1595266727 create_dir_checkpoint-wf_0_local JOB_SUCCESS 0 local - 1
1595266727 create_dir_checkpoint-wf_0_local POST_SCRIPT_STARTED 26.0 local - 1
1595266727 create_dir_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 26.0 local - 1
1595266732 create_dir_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1595266737 stage_in_remote_local_0_0 SUBMIT 27.0 local - 2
1595266737 stage_in_local_local_0_0 SUBMIT 28.0 local - 3
1595266740 stage_in_remote_local_0_0 EXECUTE 27.0 local - 2
1595266740 stage_in_local_local_0_0 EXECUTE 28.0 local - 3
1595266742 stage_in_local_local_0_0 JOB_TERMINATED 28.0 local - 3
1595266742 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1595266742 stage_in_local_local_0_0 POST_SCRIPT_STARTED 28.0 local - 3
1595266742 stage_in_remote_local_0_0 JOB_TERMINATED 27.0 local - 2
1595266742 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1595266742 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 27.0 local - 2
1595266743 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 28.0 local - 3
1595266747 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1595266743 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 27.0 local - 2
1595266747 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1595266752 print_nums_py_ID0000001 SUBMIT 29.0 condorpool - 4
1595266760 print_nums_py_ID0000001 EXECUTE 29.0 condorpool - 4
1595266851 print_nums_py_ID0000001 JOB_TERMINATED 29.0 condorpool - 4
1595266852 print_nums_py_ID0000001 JOB_FAILURE 14 condorpool - 4
1595266852 print_nums_py_ID0000001 POST_SCRIPT_STARTED 29.0 condorpool - 4
1595266852 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 29.0 condorpool - 4
1595266857 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 4
1595266862 print_nums_py_ID0000001 SUBMIT 30.0 condorpool - 5
1595266863 print_nums_py_ID0000001 EXECUTE 30.0 condorpool - 5
1595266954 print_nums_py_ID0000001 JOB_TERMINATED 30.0 condorpool - 5
1595266957 print_nums_py_ID0000001 JOB_FAILURE 14 condorpool - 5
1595266957 print_nums_py_ID0000001 POST_SCRIPT_STARTED 30.0 condorpool - 5
1595266957 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 30.0 condorpool - 5
1595266962 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 5
1595266967 print_nums_py_ID0000001 SUBMIT 31.0 condorpool - 6
1595266969 print_nums_py_ID0000001 EXECUTE 31.0 condorpool - 6
1595267029 print_nums_py_ID0000001 JOB_TERMINATED 31.0 condorpool - 6
1595267032 print_nums_py_ID0000001 JOB_SUCCESS 0 condorpool - 6
1595267032 print_nums_py_ID0000001 POST_SCRIPT_STARTED 31.0 condorpool - 6
1595267033 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 31.0 condorpool - 6
1595267037 print_nums_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1595267042 clean_up_local_level_3_0 SUBMIT 32.0 local - 7
1595267042 stage_out_local_local_0_0 SUBMIT 33.0 local - 8
1595267045 clean_up_local_level_3_0 EXECUTE 32.0 local - 7
1595267045 stage_out_local_local_0_0 EXECUTE 33.0 local - 8
1595267047 clean_up_local_level_3_0 JOB_TERMINATED 32.0 local - 7
1595267052 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1595267052 clean_up_local_level_3_0 POST_SCRIPT_STARTED 32.0 local - 7
1595267049 stage_out_local_local_0_0 JOB_TERMINATED 33.0 local - 8
1595267052 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1595267052 stage_out_local_local_0_0 POST_SCRIPT_STARTED 33.0 local - 8
1595267052 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 32.0 local - 7
1595267057 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1595267052 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 33.0 local - 8
1595267057 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1595267062 clean_up_local_level_4_0 SUBMIT 34.0 local - 9
1595267062 register_local_0_0 SUBMIT 35.0 local - 10
1595267067 clean_up_local_level_4_0 EXECUTE 34.0 local - 9
1595267067 register_local_0_0 EXECUTE 35.0 local - 10
1595267069 register_local_0_0 JOB_TERMINATED 35.0 local - 10
1595267072 register_local_0_0 JOB_SUCCESS 0 local - 10
1595267072 register_local_0_0 POST_SCRIPT_STARTED 35.0 local - 10
1595267071 clean_up_local_level_4_0 JOB_TERMINATED 34.0 local - 9
1595267072 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 9
1595267072 clean_up_local_level_4_0 POST_SCRIPT_STARTED 34.0 local - 9
1595267072 register_local_0_0 POST_SCRIPT_TERMINATED 35.0 local - 10
1595267077 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 10
1595267072 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 34.0 local - 9
1595267077 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 9
1595267082 cleanup_checkpoint-wf_0_local SUBMIT 36.0 local - 11
1595267083 cleanup_checkpoint-wf_0_local EXECUTE 36.0 local - 11
1595267086 cleanup_checkpoint-wf_0_local JOB_TERMINATED 36.0 local - 11
1595267087 cleanup_checkpoint-wf_0_local JOB_SUCCESS 0 local - 11
1595267087 cleanup_checkpoint-wf_0_local POST_SCRIPT_STARTED 36.0 local - 11
1595267088 cleanup_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 36.0 local - 11
1595267092 cleanup_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 11
1595267092 INTERNAL *** DAGMAN_FINISHED 0 ***
1595267093 INTERNAL *** MONITORD_FINISHED 0 ***
