1599761292 INTERNAL *** MONITORD_STARTED ***
1599761290 INTERNAL *** DAGMAN_STARTED 1.0 ***
1599761294 create_dir_checkpoint-wf_0_local SUBMIT 2.0 local - 1
1599761295 create_dir_checkpoint-wf_0_local EXECUTE 2.0 local - 1
1599761297 create_dir_checkpoint-wf_0_local JOB_TERMINATED 2.0 local - 1
1599761299 create_dir_checkpoint-wf_0_local JOB_SUCCESS 0 local - 1
1599761299 create_dir_checkpoint-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1599761299 create_dir_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1599761304 create_dir_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1599761309 stage_in_remote_local_0_0 SUBMIT 3.0 local - 2
1599761311 stage_in_remote_local_0_0 EXECUTE 3.0 local - 2
1599761313 stage_in_remote_local_0_0 JOB_TERMINATED 3.0 local - 2
1599761314 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1599761314 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 3.0 local - 2
1599761315 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 3.0 local - 2
1599761319 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1599761324 print_nums_py_ID0000001 SUBMIT 4.0 condorpool - 3
1599761334 print_nums_py_ID0000001 SHADOW_EXCEPTION 4.0 condorpool - 3
1599761334 print_nums_py_ID0000001 JOB_HELD 4.0 condorpool - 3
1599761334 print_nums_py_ID0000001 JOB_HELD_REASON 4.0 condorpool - 3
1599763145 print_nums_py_ID0000001 JOB_ABORTED 4.0 condorpool - 3
1599763147 print_nums_py_ID0000001 POST_SCRIPT_STARTED 4.0 condorpool - 3
1599763147 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 4.0 condorpool - 3
1599763152 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 3
1599763157 print_nums_py_ID0000001 SUBMIT 17.0 condorpool - 4
1599763168 print_nums_py_ID0000001 SHADOW_EXCEPTION 17.0 condorpool - 4
1599763168 print_nums_py_ID0000001 JOB_HELD 17.0 condorpool - 4
1599763172 print_nums_py_ID0000001 JOB_HELD_REASON 17.0 condorpool - 4
1599765021 print_nums_py_ID0000001 JOB_ABORTED 17.0 condorpool - 4
1599765023 print_nums_py_ID0000001 POST_SCRIPT_STARTED 17.0 condorpool - 4
1599765023 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 17.0 condorpool - 4
1599765028 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 4
1599765033 print_nums_py_ID0000001 SUBMIT 18.0 condorpool - 5
1599765041 print_nums_py_ID0000001 SHADOW_EXCEPTION 18.0 condorpool - 5
1599765041 print_nums_py_ID0000001 JOB_HELD 18.0 condorpool - 5
1599765044 print_nums_py_ID0000001 JOB_HELD_REASON 18.0 condorpool - 5
1599766901 print_nums_py_ID0000001 JOB_ABORTED 18.0 condorpool - 5
1599766901 print_nums_py_ID0000001 POST_SCRIPT_STARTED 18.0 condorpool - 5
1599766901 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 18.0 condorpool - 5
1599766907 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 5
1599766913 print_nums_py_ID0000001 SUBMIT 19.0 condorpool - 6
1599766917 print_nums_py_ID0000001 SHADOW_EXCEPTION 19.0 condorpool - 6
1599766917 print_nums_py_ID0000001 JOB_HELD 19.0 condorpool - 6
1599766918 print_nums_py_ID0000001 JOB_HELD_REASON 19.0 condorpool - 6
1599768719 print_nums_py_ID0000001 JOB_ABORTED 19.0 condorpool - 6
1599768723 print_nums_py_ID0000001 POST_SCRIPT_STARTED 19.0 condorpool - 6
1599768723 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 19.0 condorpool - 6
1599768728 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 6
1599768733 print_nums_py_ID0000001 SUBMIT 56.0 condorpool - 7
1599768741 print_nums_py_ID0000001 SHADOW_EXCEPTION 56.0 condorpool - 7
1599768741 print_nums_py_ID0000001 JOB_HELD 56.0 condorpool - 7
1599768743 print_nums_py_ID0000001 JOB_HELD_REASON 56.0 condorpool - 7
1599770588 print_nums_py_ID0000001 JOB_ABORTED 56.0 condorpool - 7
1599770588 print_nums_py_ID0000001 POST_SCRIPT_STARTED 56.0 condorpool - 7
1599770589 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 56.0 condorpool - 7
1599770593 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 7
1599770598 print_nums_py_ID0000001 SUBMIT 128.0 condorpool - 8
1599770608 print_nums_py_ID0000001 SHADOW_EXCEPTION 128.0 condorpool - 8
1599770608 print_nums_py_ID0000001 JOB_HELD 128.0 condorpool - 8
1599770613 print_nums_py_ID0000001 JOB_HELD_REASON 128.0 condorpool - 8
1599772455 print_nums_py_ID0000001 JOB_ABORTED 128.0 condorpool - 8
1599772458 print_nums_py_ID0000001 POST_SCRIPT_STARTED 128.0 condorpool - 8
1599772459 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 128.0 condorpool - 8
1599772463 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 8
1599772463 INTERNAL *** DAGMAN_FINISHED 1 ***
1599772465 INTERNAL *** MONITORD_FINISHED 0 ***
