1599761693 INTERNAL *** MONITORD_STARTED ***
1599761690 INTERNAL *** DAGMAN_STARTED 5.0 ***
1599761694 create_dir_checkpoint-wf_0_local SUBMIT 6.0 local - 1
1599761695 create_dir_checkpoint-wf_0_local EXECUTE 6.0 local - 1
1599761698 create_dir_checkpoint-wf_0_local JOB_TERMINATED 6.0 local - 1
1599761699 create_dir_checkpoint-wf_0_local JOB_SUCCESS 0 local - 1
1599761699 create_dir_checkpoint-wf_0_local POST_SCRIPT_STARTED 6.0 local - 1
1599761699 create_dir_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 6.0 local - 1
1599761704 create_dir_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1599761710 stage_in_remote_local_0_0 SUBMIT 7.0 local - 2
1599761710 stage_in_local_local_0_0 SUBMIT 8.0 local - 3
1599761711 stage_in_local_local_0_0 EXECUTE 8.0 local - 3
1599761711 stage_in_remote_local_0_0 EXECUTE 7.0 local - 2
1599761713 stage_in_local_local_0_0 JOB_TERMINATED 8.0 local - 3
1599761715 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1599761715 stage_in_local_local_0_0 POST_SCRIPT_STARTED 8.0 local - 3
1599761713 stage_in_remote_local_0_0 JOB_TERMINATED 7.0 local - 2
1599761715 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1599761715 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 7.0 local - 2
1599761715 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 8.0 local - 3
1599761720 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1599761715 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 7.0 local - 2
1599761720 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1599761725 print_nums_py_ID0000001 SUBMIT 9.0 condorpool - 4
1599761730 print_nums_py_ID0000001 EXECUTE 9.0 condorpool - 4
1599761821 print_nums_py_ID0000001 JOB_TERMINATED 9.0 condorpool - 4
1599761825 print_nums_py_ID0000001 JOB_FAILURE 14 condorpool - 4
1599761825 print_nums_py_ID0000001 POST_SCRIPT_STARTED 9.0 condorpool - 4
1599761825 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 9.0 condorpool - 4
1599761830 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 4
1599761836 print_nums_py_ID0000001 SUBMIT 10.0 condorpool - 5
1599761837 print_nums_py_ID0000001 EXECUTE 10.0 condorpool - 5
1599761928 print_nums_py_ID0000001 JOB_TERMINATED 10.0 condorpool - 5
1599761931 print_nums_py_ID0000001 JOB_FAILURE 14 condorpool - 5
1599761931 print_nums_py_ID0000001 POST_SCRIPT_STARTED 10.0 condorpool - 5
1599761931 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 10.0 condorpool - 5
1599761936 print_nums_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 5
1599761941 print_nums_py_ID0000001 SUBMIT 11.0 condorpool - 6
1599761942 print_nums_py_ID0000001 EXECUTE 11.0 condorpool - 6
1599761946 print_nums_py_ID0000001 JOB_TERMINATED 11.0 condorpool - 6
1599761946 print_nums_py_ID0000001 JOB_SUCCESS 0 condorpool - 6
1599761946 print_nums_py_ID0000001 POST_SCRIPT_STARTED 11.0 condorpool - 6
1599761946 print_nums_py_ID0000001 POST_SCRIPT_TERMINATED 11.0 condorpool - 6
1599761951 print_nums_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1599761956 clean_up_local_level_3_0 SUBMIT 12.0 local - 7
1599761956 stage_out_local_local_0_0 SUBMIT 13.0 local - 8
1599761958 clean_up_local_level_3_0 EXECUTE 12.0 local - 7
1599761958 stage_out_local_local_0_0 EXECUTE 13.0 local - 8
1599761961 clean_up_local_level_3_0 JOB_TERMINATED 12.0 local - 7
1599761961 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1599761961 clean_up_local_level_3_0 POST_SCRIPT_STARTED 12.0 local - 7
1599761962 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 12.0 local - 7
1599761966 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
