1600109235 INTERNAL *** MONITORD_STARTED ***
1600109232 INTERNAL *** DAGMAN_STARTED 21.0 ***
1600109236 create_dir_Cats_and_Dogs_0_local SUBMIT 22.0 local - 1
1600109240 create_dir_Cats_and_Dogs_0_local EXECUTE 22.0 local - 1
1600109242 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 22.0 local - 1
1600109246 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 1
1600109246 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 22.0 local - 1
1600109246 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 22.0 local - 1
1600109251 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 1
1600109256 stage_in_remote_local_2_0 SUBMIT 23.0 local - 2
1600109256 stage_in_remote_local_1_0 SUBMIT 24.0 local - 3
1600109256 stage_in_remote_local_0_0 SUBMIT 25.0 local - 4
1600109256 stage_in_local_local_4_0 SUBMIT 26.0 local - 5
1600109256 stage_in_local_local_0_0 SUBMIT 27.0 local - 6
1600109256 stage_in_remote_local_4_0 SUBMIT 28.0 local - 7
1600109256 stage_in_remote_local_3_0 SUBMIT 29.0 local - 8
1600109260 stage_in_local_local_4_0 EXECUTE 26.0 local - 5
1600109260 stage_in_local_local_0_0 EXECUTE 27.0 local - 6
1600109260 stage_in_remote_local_4_0 EXECUTE 28.0 local - 7
1600109260 stage_in_remote_local_3_0 EXECUTE 29.0 local - 8
1600109260 stage_in_remote_local_2_0 EXECUTE 23.0 local - 2
1600109260 stage_in_remote_local_1_0 EXECUTE 24.0 local - 3
1600109260 stage_in_remote_local_0_0 EXECUTE 25.0 local - 4
1600109263 stage_in_local_local_4_0 JOB_TERMINATED 26.0 local - 5
1600109267 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 5
1600109267 stage_in_local_local_4_0 POST_SCRIPT_STARTED 26.0 local - 5
1600109263 stage_in_remote_local_3_0 JOB_TERMINATED 29.0 local - 8
1600109267 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 8
1600109267 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 29.0 local - 8
1600109263 stage_in_remote_local_4_0 JOB_TERMINATED 28.0 local - 7
1600109267 stage_in_remote_local_4_0 JOB_SUCCESS 0 local - 7
1600109267 stage_in_remote_local_4_0 POST_SCRIPT_STARTED 28.0 local - 7
1600109263 stage_in_remote_local_0_0 JOB_TERMINATED 25.0 local - 4
1600109267 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1600109267 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 25.0 local - 4
1600109263 stage_in_remote_local_2_0 JOB_TERMINATED 23.0 local - 2
1600109267 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1600109267 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 23.0 local - 2
1600109263 stage_in_remote_local_1_0 JOB_TERMINATED 24.0 local - 3
1600109267 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1600109267 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 24.0 local - 3
1600109267 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 29.0 local - 8
1600109272 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 8
