1600925542 INTERNAL *** MONITORD_STARTED ***
1600925540 INTERNAL *** DAGMAN_STARTED 253.0 ***
1600925544 stage_out_local_local_1000_0 SUBMIT 254.0 local - 1
1600925544 stage_out_local_local_1000_0 EXECUTE 254.0 local - 1
1600925544 create_dir_Cats_and_Dogs_0_local SUBMIT 255.0 local - 2
1600925546 stage_out_local_local_1000_0 JOB_TERMINATED 254.0 local - 1
1600925549 stage_out_local_local_1000_0 JOB_SUCCESS 0 local - 1
1600925549 stage_out_local_local_1000_0 POST_SCRIPT_STARTED 254.0 local - 1
1600925546 create_dir_Cats_and_Dogs_0_local EXECUTE 255.0 local - 2
1600925548 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 255.0 local - 2
1600925549 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 2
1600925549 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 255.0 local - 2
1600925549 stage_out_local_local_1000_0 POST_SCRIPT_TERMINATED 254.0 local - 1
1600925554 stage_out_local_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 1
1600925549 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 255.0 local - 2
1600925554 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 2
1600925559 stage_in_remote_local_2_0 SUBMIT 257.0 local - 3
1600925559 stage_in_remote_local_1_0 SUBMIT 258.0 local - 4
1600925559 stage_in_remote_local_0_0 SUBMIT 259.0 local - 5
1600925559 stage_in_local_local_0_0 SUBMIT 260.0 local - 6
1600925559 stage_in_remote_local_3_0 SUBMIT 261.0 local - 7
1600925559 register_local_1000_0 SUBMIT 262.0 local - 8
1600925562 stage_in_remote_local_2_0 EXECUTE 257.0 local - 3
1600925562 stage_in_local_local_0_0 EXECUTE 260.0 local - 6
1600925562 stage_in_remote_local_0_0 EXECUTE 259.0 local - 5
1600925562 register_local_1000_0 EXECUTE 262.0 local - 8
1600925562 stage_in_remote_local_1_0 EXECUTE 258.0 local - 4
1600925562 stage_in_remote_local_3_0 EXECUTE 261.0 local - 7
1600925564 register_local_1000_0 JOB_TERMINATED 262.0 local - 8
1600925564 register_local_1000_0 JOB_SUCCESS 0 local - 8
1600925564 register_local_1000_0 POST_SCRIPT_STARTED 262.0 local - 8
1600925564 stage_in_remote_local_2_0 JOB_TERMINATED 257.0 local - 3
1600925564 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 3
1600925564 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 257.0 local - 3
1600925564 stage_in_remote_local_0_0 JOB_TERMINATED 259.0 local - 5
1600925564 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 5
1600925564 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 259.0 local - 5
1600925564 stage_in_remote_local_3_0 JOB_TERMINATED 261.0 local - 7
1600925564 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 7
1600925564 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 261.0 local - 7
1600925564 stage_in_remote_local_1_0 JOB_TERMINATED 258.0 local - 4
1600925564 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 4
1600925564 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 258.0 local - 4
1600925565 register_local_1000_0 POST_SCRIPT_TERMINATED 262.0 local - 8
1600925569 register_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 8
1600925565 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 257.0 local - 3
1600925569 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 3
1600925565 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 261.0 local - 7
1600925569 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1600925565 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 259.0 local - 5
1600925569 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1600925565 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 258.0 local - 4
1600925569 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1600925567 stage_in_local_local_0_0 JOB_TERMINATED 260.0 local - 6
1600925569 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 6
1600925569 stage_in_local_local_0_0 POST_SCRIPT_STARTED 260.0 local - 6
1600925569 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 260.0 local - 6
1600925574 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1600925579 preprocess1_py_ID0000001 SUBMIT 266.0 condorpool - 9
1600925583 preprocess1_py_ID0000001 EXECUTE 266.0 condorpool - 9
1600925586 preprocess1_py_ID0000001 JOB_TERMINATED 266.0 condorpool - 9
1600925589 preprocess1_py_ID0000001 JOB_SUCCESS 0 condorpool - 9
1600925589 preprocess1_py_ID0000001 POST_SCRIPT_STARTED 266.0 condorpool - 9
1600925590 preprocess1_py_ID0000001 POST_SCRIPT_TERMINATED 266.0 condorpool - 9
1600925594 preprocess1_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 9
1600925599 clean_up_local_level_3_0 SUBMIT 271.0 local - 10
1600925599 stage_out_local_local_0_0 SUBMIT 272.0 local - 11
1600925599 Augmentation_py_ID0000002 SUBMIT 273.0 condorpool - 12
1600925600 stage_out_local_local_0_0 EXECUTE 272.0 local - 11
1600925600 clean_up_local_level_3_0 EXECUTE 271.0 local - 10
1600925600 Augmentation_py_ID0000002 EXECUTE 273.0 condorpool - 12
1600925604 Augmentation_py_ID0000002 JOB_TERMINATED 273.0 condorpool - 12
1600925609 Augmentation_py_ID0000002 JOB_SUCCESS 0 condorpool - 12
1600925609 Augmentation_py_ID0000002 POST_SCRIPT_STARTED 273.0 condorpool - 12
1600925605 stage_out_local_local_0_0 JOB_TERMINATED 272.0 local - 11
1600925609 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 11
1600925609 stage_out_local_local_0_0 POST_SCRIPT_STARTED 272.0 local - 11
1600925609 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 272.0 local - 11
1600925614 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 11
1600925609 Augmentation_py_ID0000002 POST_SCRIPT_TERMINATED 273.0 condorpool - 12
1600925614 Augmentation_py_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 12
1600925614 clean_up_local_level_3_0 JOB_TERMINATED 271.0 local - 10
