1598291272 INTERNAL *** MONITORD_STARTED ***
1598291271 INTERNAL *** DAGMAN_STARTED 1.0 ***
1598291275 create_dir_Cats_and_Dogs_0_local SUBMIT 2.0 local - 1
1598291276 create_dir_Cats_and_Dogs_0_local EXECUTE 2.0 local - 1
1598291278 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 2.0 local - 1
1598291280 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 1
1598291280 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 2.0 local - 1
1598291280 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1598291285 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 1
1598291290 stage_in_remote_local_2_0 SUBMIT 3.0 local - 2
1598291290 stage_in_remote_local_1_0 SUBMIT 4.0 local - 3
1598291290 stage_in_remote_local_0_0 SUBMIT 5.0 local - 4
1598291291 stage_in_local_local_0_0 SUBMIT 6.0 local - 5
1598291291 stage_in_remote_local_3_0 SUBMIT 7.0 local - 6
1598291294 stage_in_remote_local_2_0 EXECUTE 3.0 local - 2
1598291294 stage_in_local_local_0_0 EXECUTE 6.0 local - 5
1598291294 stage_in_remote_local_0_0 EXECUTE 5.0 local - 4
1598291294 stage_in_remote_local_1_0 EXECUTE 4.0 local - 3
1598291294 stage_in_remote_local_3_0 EXECUTE 7.0 local - 6
1598291296 stage_in_remote_local_2_0 JOB_TERMINATED 3.0 local - 2
1598291301 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1598291301 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3.0 local - 2
1598291296 stage_in_remote_local_0_0 JOB_TERMINATED 5.0 local - 4
1598291301 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1598291301 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 5.0 local - 4
1598291296 stage_in_remote_local_1_0 JOB_TERMINATED 4.0 local - 3
1598291301 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1598291301 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1598291296 stage_in_remote_local_3_0 JOB_TERMINATED 7.0 local - 6
1598291301 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 6
1598291301 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 7.0 local - 6
1598291301 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 3.0 local - 2
1598291306 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1598291301 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 5.0 local - 4
1598291306 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1598291301 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 7.0 local - 6
1598291306 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 6
1598291301 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1598291306 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1598291317 stage_in_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1598291321 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1598291321 stage_in_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1598291322 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1598291326 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1598291331 preprocess1_py_ID0000001 SUBMIT 8.0 condorpool - 7
1598291336 preprocess1_py_ID0000001 EXECUTE 8.0 condorpool - 7
1598291341 preprocess1_py_ID0000001 JOB_TERMINATED 8.0 condorpool - 7
1598291341 preprocess1_py_ID0000001 JOB_SUCCESS 0 condorpool - 7
1598291341 preprocess1_py_ID0000001 POST_SCRIPT_STARTED 8.0 condorpool - 7
1598291342 preprocess1_py_ID0000001 POST_SCRIPT_TERMINATED 8.0 condorpool - 7
1598291346 preprocess1_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 7
1598291351 clean_up_local_level_3_0 SUBMIT 9.0 local - 8
1598291351 stage_out_local_local_0_0 SUBMIT 10.0 local - 9
1598291351 Augmentation_py_ID0000002 SUBMIT 11.0 condorpool - 10
1598291353 Augmentation_py_ID0000002 EXECUTE 11.0 condorpool - 10
1598291355 clean_up_local_level_3_0 EXECUTE 9.0 local - 8
