1600926599 INTERNAL *** MONITORD_STARTED ***
1600926597 INTERNAL *** DAGMAN_STARTED 325.0 ***
1600926601 stage_out_local_local_1000_0 SUBMIT 326.0 local - 1
1600926601 create_dir_Cats_and_Dogs_0_local SUBMIT 327.0 local - 2
1600926602 create_dir_Cats_and_Dogs_0_local EXECUTE 327.0 local - 2
1600926602 stage_out_local_local_1000_0 EXECUTE 326.0 local - 1
1600926604 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 327.0 local - 2
1600926606 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 2
1600926606 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 327.0 local - 2
1600926604 stage_out_local_local_1000_0 JOB_TERMINATED 326.0 local - 1
1600926606 stage_out_local_local_1000_0 JOB_SUCCESS 0 local - 1
1600926606 stage_out_local_local_1000_0 POST_SCRIPT_STARTED 326.0 local - 1
1600926606 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 327.0 local - 2
1600926611 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 2
1600926606 stage_out_local_local_1000_0 POST_SCRIPT_TERMINATED 326.0 local - 1
1600926611 stage_out_local_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 1
1600926616 stage_in_remote_local_2_0 SUBMIT 328.0 local - 3
1600926617 stage_in_remote_local_1_0 SUBMIT 329.0 local - 4
1600926617 stage_in_remote_local_0_0 SUBMIT 330.0 local - 5
1600926617 stage_in_local_local_0_0 SUBMIT 331.0 local - 6
1600926617 stage_in_remote_local_3_0 SUBMIT 332.0 local - 7
1600926617 register_local_1000_0 SUBMIT 333.0 local - 8
1600926618 stage_in_remote_local_2_0 EXECUTE 328.0 local - 3
1600926618 stage_in_local_local_0_0 EXECUTE 331.0 local - 6
1600926618 stage_in_remote_local_0_0 EXECUTE 330.0 local - 5
1600926618 register_local_1000_0 EXECUTE 333.0 local - 8
1600926618 stage_in_remote_local_1_0 EXECUTE 329.0 local - 4
1600926618 stage_in_remote_local_3_0 EXECUTE 332.0 local - 7
1600926620 register_local_1000_0 JOB_TERMINATED 333.0 local - 8
1600926622 register_local_1000_0 JOB_SUCCESS 0 local - 8
1600926622 register_local_1000_0 POST_SCRIPT_STARTED 333.0 local - 8
1600926620 stage_in_remote_local_2_0 JOB_TERMINATED 328.0 local - 3
1600926622 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 3
1600926622 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 328.0 local - 3
1600926620 stage_in_remote_local_0_0 JOB_TERMINATED 330.0 local - 5
1600926622 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 5
1600926622 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 330.0 local - 5
1600926620 stage_in_remote_local_1_0 JOB_TERMINATED 329.0 local - 4
1600926622 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 4
1600926622 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 329.0 local - 4
1600926620 stage_in_remote_local_3_0 JOB_TERMINATED 332.0 local - 7
1600926622 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 7
1600926622 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 332.0 local - 7
1600926622 register_local_1000_0 POST_SCRIPT_TERMINATED 333.0 local - 8
1600926627 register_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 8
1600926622 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 328.0 local - 3
1600926627 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 3
1600926622 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 330.0 local - 5
1600926627 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1600926622 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 329.0 local - 4
1600926627 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1600926622 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 332.0 local - 7
1600926627 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1600926623 stage_in_local_local_0_0 JOB_TERMINATED 331.0 local - 6
1600926627 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 6
1600926627 stage_in_local_local_0_0 POST_SCRIPT_STARTED 331.0 local - 6
1600926627 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 331.0 local - 6
1600926632 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1600926638 preprocess1_py_ID0000001 SUBMIT 334.0 condorpool - 9
